Time (HH:MM:SS) - Setpoint	Temperature (ºC) - Setpoint	Time (HH:MM:SS) - Sensor 1	Temperature (ºC) - Sensor 1	Time (HH:MM:SS) - Sensor 2	Temperature (ºC) - Sensor 2	Time (HH:MM:SS) - Power	          Power (%) - Power
14:09:48	-20	14:09:48	-20	14:09:48	-97.1	14:09:48	-63
14:09:49	-20	14:09:49	-20	14:09:49	-97.1	14:09:49	-63
14:09:50	-20	14:09:50	-20	14:09:50	-97.2	14:09:50	-63
14:09:51	-20	14:09:51	-20	14:09:51	-97.2	14:09:51	-63
14:09:52	-20	14:09:52	-19.99	14:09:52	-97.1	14:09:52	-63
14:09:53	-4	14:09:53	-19.99	14:09:53	-97.1	14:10:29	96
14:09:54	-4	14:09:54	-20	14:09:54	-97.2	14:10:30	90
14:09:55	-4	14:09:55	-20	14:09:55	-97.2	14:10:31	83
14:09:56	-4	14:09:56	-19.99	14:09:56	-97.2	14:10:32	75
14:09:57	-4	14:09:57	-19.97	14:09:57	-97.1	14:10:33	68
14:09:58	-4	14:09:58	-19.92	14:09:58	-97.2	14:10:34	61
14:09:59	-4	14:09:59	-19.84	14:09:59	-97.1	14:10:35	56
14:10:00	-4	14:10:00	-19.72	14:10:00	-97.1	14:10:37	48
14:10:01	-4	14:10:01	-19.51	14:10:01	-97.2	14:10:38	42
14:10:02	-4	14:10:02	-19.3	14:10:02	-97.1	14:10:39	35
14:10:03	-4	14:10:03	-18.97	14:10:03	-97.2	14:10:40	28
14:10:04	-4	14:10:04	-18.67	14:10:04	-97.2	14:10:41	23
14:10:05	-4	14:10:05	-18.41	14:10:05	-97.1	14:10:42	17
14:10:06	-4	14:10:06	-18.03	14:10:06	-97.2	14:10:43	9
14:10:07	-4	14:10:07	-17.69	14:10:07	-97.2	14:10:44	4
14:10:08	-4	14:10:08	-17.34	14:10:08	-97.1	14:10:45	1
14:10:09	-4	14:10:09	-16.92	14:10:09	-97.2	14:10:46	-10
14:10:10	-4	14:10:10	-16.53	14:10:10	-97.2	14:10:47	-10
14:10:11	-4	14:10:11	-16.16	14:10:11	-97.2	14:10:48	-10
14:10:12	-4	14:10:12	-15.76	14:10:12	-97.1	14:10:49	-10
14:10:13	-4	14:10:13	-15.38	14:10:13	-97.1	14:10:50	-10
